../zymo/data/2018-03-09/1 ../zymo/data/2018-03-09/2 ../zymo/data/2018-03-09/3 ../zymo/data/2018-03-09/4 ../zymo/data/2022-02-18/Bpoop ../zymo/data/2022-02-18/Beauty ../zymo/data/2022-04-19/bvomit ../zymo/data/2022-07-11/bgood ../zymo/data/2022-08-19/brown ../zymo/data/2022-10-07/soil829 ../zymo/data/2023-10-25/Annie.2.US01120093 ../zymo/data/2023-10-25/Daisy.1..US01119673 ../zymo/data/2023-10-25/Happy.3.US01120297 ../zymo/data/2023-10-25/Rocky.4..US01120255 key_0 key_1 key_2 key_3 key_4 key_5 key_6
0 0 0 0 0 0.0232648 0 0 0 0 0 0 0 0 k__Bacteria p__Fusobacteria c__Fusobacteriia o__Fusobacteriales f__Leptotrichiaceae g__NA s__sp37541_3
0 0 0 0 0 0.0177071 0 0 0 0 0 0 0 0 k__Bacteria p__Fusobacteria c__Fusobacteriia o__Fusobacteriales f__Leptotrichiaceae g__Leptotrichia s__sp37518
0 0 0 0 0 0.0113739 0 0 0 0 0 0 0 0 k__Bacteria p__Fusobacteria c__Fusobacteriia o__Fusobacteriales f__Leptotrichiaceae g__NA s__sp37541_2
0 0 0 0 0 0.00956443 0 0 0 0 0 0 0 0 k__Bacteria p__Fusobacteria c__Fusobacteriia o__Fusobacteriales f__Fusobacteriaceae g__Fusobacterium s__nucleatum_2
0 0 0 0 0 0.00827194 0 0 0 0 0 0 0 0 k__Bacteria p__Fusobacteria c__Fusobacteriia o__Fusobacteriales f__Leptotrichiaceae g__Leptotrichia s__sp37508-sp37510
0 0 0 0 0 0.00723795 0 0 0 0 0 0 0 0 k__Bacteria p__Fusobacteria c__Fusobacteriia o__Fusobacteriales f__Fusobacteriaceae g__Fusobacterium s__sp37444_2
0 0 0 0 0 0.00400672 0 0 0 0 0 0 0 0 k__Bacteria p__Fusobacteria c__Fusobacteriia o__Fusobacteriales f__Leptotrichiaceae g__Leptotrichia s__sp37508_2
0 0 0 0 0 0.00336048 0.0110974 0 0 0 0 0 0 0 k__Bacteria p__Fusobacteria c__Fusobacteriia o__Fusobacteriales f__Leptotrichiaceae g__Leptotrichia s__sp37508_1
0 0 0.00569733 0 0 0 0 0 0 0 0 0 0 0 k__Bacteria p__Fusobacteria c__Fusobacteriia o__Fusobacteriales f__Fusobacteriaceae g__Fusobacterium s__mortiferum_19
0 0 0.0111122 0 0 0 0 0 0 0 0 0 0 0 k__Bacteria p__Fusobacteria c__Fusobacteriia o__Fusobacteriales f__Fusobacteriaceae g__Fusobacterium s__perfoetens_1
0 0 0.0113476 0 0 0 0 0 0 0 0 0 0 0 k__Bacteria p__Fusobacteria c__Fusobacteriia o__Fusobacteriales f__Fusobacteriaceae g__Fusobacterium s__perfoetens_2
